Buiten SBZ;;;;;
Habitat volgens steekproefkader;Habitat gedetecteerd op terrein;;;;
;2310;2330_bu;2330_dw;4010;4030
2310;;Altijd;Altijd;Ranking<143150;Ranking <127574
2330_bu;Ranking<177782;;Altijd;Ranking<143150;Ranking <127574
2330_dw;Ranking<177782;Ranking < 566.134;;Ranking<143150;Ranking <127574
4010;Altijd;Altijd;Altijd;;Ranking <127574
4030;Altijd;Altijd;Altijd;Altijd;
;;;;;
Binnen SBZ;;;;;
Habitat volgens steekproefkader;Habitat gedetecteerd op terrein;;;;
;2310;2330_bu;2330_dw;4010;4030
2310;;Altijd;Altijd;Altijd;Ranking <296658
2330_bu;Ranking<554614;;Altijd;Ranking<606942;Ranking <296658
2330_dw;Ranking<554614;Ranking < 566.134;;Ranking<606942;Ranking <296658
4010;Ranking<554614;Altijd;Altijd;;Ranking <296658
4030;Altijd;Altijd;Altijd;Altijd;
